Iteration,Discriminator Loss,Generator Loss
8120,1.262338,0.544446
8130,1.353503,0.701140
8140,1.305323,0.489803
8150,1.325951,0.633652
8160,1.244158,0.509409
8170,1.220831,0.573554
8180,1.343435,0.719417
8190,1.381041,0.704708
8200,1.354556,0.707182
8210,1.350432,0.636389
8220,1.269878,0.516907
8230,1.240325,0.667581
8240,1.180794,0.676550
8250,1.306926,0.577629
8260,1.214461,0.514164
8270,1.277702,0.634382
8280,1.251347,0.666677
8290,1.353544,0.681956
8300,1.317601,0.517103
8310,1.362774,0.684132
8320,1.311635,0.630505
8330,1.362791,0.662684
8340,1.260227,0.686194
8350,1.440702,0.663866
8360,1.420725,0.677700
8370,1.324826,0.653076
8380,1.322771,0.560499
8390,1.276684,0.642685
8400,1.248022,0.660883
8410,1.333020,0.656422
8420,1.364379,0.619043
8430,1.356128,0.642439
8440,1.331306,0.650372
8450,1.231556,0.644315
8460,1.323717,0.486893
8470,1.342044,0.683673
8480,1.176123,0.551287
8490,1.344991,0.636725
8500,1.262982,0.587875
8510,1.185274,0.671035
8520,1.251361,0.492159
8530,1.351633,0.646229
8540,1.274978,0.683824
8550,1.298369,0.562820
8560,1.364030,0.694202
8570,1.342149,0.703898
8580,1.327445,0.422882
8590,1.347256,0.737307
8600,1.374257,0.810064
8610,1.334441,0.634559
8620,1.375545,0.676008
8630,1.270673,0.559386
8640,1.347007,0.683557
8650,1.328281,0.634184
8660,1.242638,0.560870
8670,1.366036,0.711529
8680,1.322658,0.626477
8690,1.355384,0.729394
8700,1.307630,0.657748
8710,1.362828,0.687308
8720,1.207963,0.634982
8730,1.296808,0.644324
8740,1.300003,0.527758
8750,1.403760,0.586734
8760,1.273890,0.661936
8770,1.389140,0.638627
8780,1.337361,0.665494
8790,1.256429,0.594195
8800,1.348455,0.499598
8810,1.274032,0.617623
8820,1.274478,0.620962
8830,1.408314,0.555580
8840,1.505543,0.718215
8850,1.360930,0.552358
8860,1.304065,0.472862
8870,1.325497,0.669657
8880,1.432944,0.616607
8890,1.377539,0.699815
8900,1.251237,0.644742
8910,1.195113,0.629664
8920,1.348995,0.656439
8930,1.359248,0.694122
8940,1.332278,0.615628
8950,1.305274,0.682704
8960,1.300404,0.648918
8970,1.279727,0.689807
8980,1.290185,0.479278
8990,1.320661,0.530098
9000,1.400974,0.694218
9010,1.252748,0.578881
9020,1.339422,0.653496
9030,1.274133,0.636773
9040,1.274792,0.555193
9050,1.375159,0.688783
9060,1.262510,0.565491
9070,1.340096,0.557856
9080,1.349736,0.767439
9090,1.368431,0.503579
9100,1.394077,0.709839
9110,1.330087,0.706043
9120,1.383908,0.711381
9130,1.298970,0.551304
9140,1.337516,0.571781
9150,1.249209,0.622216
9160,1.319824,0.691547
9170,1.304103,0.681597
9180,1.220862,0.645851
9190,1.296677,0.684124
9200,1.319925,0.656640
9210,1.284427,0.646041
9220,1.338880,0.629976
9230,1.431126,0.507540
9240,1.369379,0.710297
9250,1.310019,0.724503
9260,1.380116,0.559989
9270,1.316517,0.631541
9280,1.360961,0.650552
9290,1.296822,0.672086
9300,1.282615,0.669720
9310,1.463526,0.424627
9320,1.370623,0.699541
9330,1.362252,0.716630
9340,1.370693,0.696297
9350,1.327491,0.692582
9360,1.370613,0.720278
9370,1.490140,0.830697
9380,1.328381,0.695064
9390,1.392627,0.737964
9400,1.235883,0.607810
9410,1.390392,0.734970
9420,1.307642,0.460077
9430,1.290735,0.641899
9440,1.279225,0.663381
9450,1.245835,0.609913
9460,1.308637,0.635215
9470,1.380944,0.628385
9480,1.355308,0.460207
9490,1.358738,0.718467
9500,1.331758,0.600349
9510,1.415663,0.667239
9520,1.277055,0.656161
9530,1.332235,0.560589
9540,1.372517,0.667009
9550,1.444049,0.656705
9560,1.255604,0.513930
9570,1.320961,0.632947
9580,1.261618,0.587957
9590,1.241463,0.577235
9600,1.298529,0.529109
9610,1.349798,0.540897
9620,1.360854,0.664850
9630,1.269335,0.498890
9640,1.371378,0.701096
9650,1.368803,0.704304
9660,1.296551,0.547345
9670,1.290929,0.512947
9680,1.230333,0.589516
9690,1.342791,0.492021
9700,1.236573,0.540573
9710,1.356204,0.744302
9720,1.498073,0.385591
9730,1.309330,0.575281
9740,1.462708,0.600508
9750,1.155635,0.452063
9760,1.288208,0.550897
9770,1.290193,0.519414
9780,1.435942,0.709180
9790,1.324250,0.577971
9800,1.270887,0.708249
9810,1.217501,0.614757
9820,1.333482,0.674149
9830,1.340257,0.623844
9840,1.304101,0.650746
9850,1.275497,0.678960
9860,1.348516,0.558688
9870,1.336926,0.449350
9880,1.286274,0.710808
9890,1.326639,0.416118
9900,1.359704,0.743755
9910,1.293853,0.650164
9920,1.356873,0.702179
9930,1.291188,0.512801
9940,1.377948,0.588340
9950,1.240280,0.665398
9960,1.357532,0.645352
9970,1.333555,0.617320
9980,1.386956,0.496926
9990,1.323212,0.487243
10000,1.216500,0.681406
10010,1.372791,0.640274
10020,1.251245,0.577144
10030,1.287350,0.638419
10040,1.495706,0.613786
10050,1.318088,0.597747
10060,1.296015,0.624672
10070,1.315598,0.586176
10080,1.340158,0.655118
10090,1.284387,0.381193
10100,1.373378,0.723307
